title	sound	episodetype	episodenumber	episodedate	time	person	timestampurl	image
Ethan please stand up	DonaldTrump_EthanPleaseStandUp.mp3	OTR	22	12-15-2021	3973	Donald Trump	https://www.youtube.com/watch?v=tI_5oCeF_g4&t=3973	
Ian please stand up	DonaldTrump_IanPleaseStandUp.mp3	OTR	22	12-15-2021	3973	Donald Trump	https://www.youtube.com/watch?v=tI_5oCeF_g4&t=3973	
Ive been listening to Olivia the entire time	DonaldTrump_IveBeenListeningToOliviaTheEntireTime.mp3	OTR	19	11-18-2021	2430	Donald Trump	https://www.youtube.com/watch?v=hY0x8d3QWDA&t=2430	
Olivia	DonaldTrump_Olivia.mp3	OTR	19	11-18-2021	2430	Donald Trump	https://www.youtube.com/watch?v=hY0x8d3QWDA&t=2430	
We do a little trolling its called we do a little trolling	DonaldTrump_WeDoALittleTrolling.mp3	H3TV	4	08-02-2021	5723	Donald Trump	https://youtu.be/QhA1sdISvME&t=5723	
We love you youre very special	DonaldTrump_WeLoveYouYoureVerySpecial.mp3	Podcast	230	01-06-2021	2119	Donald Trump	https://youtu.be/MiJFpEbHRpc&t=2119	
Big massive dumps	DonaldTrump_BigMassiveDumps.mp3	Podcast	228	12-07-2020	6642	Donald Trump	https://youtu.be/kdIPAsPzFRQ&t=6642	
They call em dumps	DonaldTrump_TheyCallThemDumps.mp3	Podcast	228	12-07-2020	6717	Donald Trump	https://youtu.be/kdIPAsPzFRQ&t=6717	
Hey Dan thats not bad huh	DonaldTrump_HeyDanThatsNotBadHuh.mp3	AfterDark	15	12-04-2020	2333	Donald Trump	https://www.youtube.com/watch?v=iAnsNKeY4Hs&t=2333	
I LOVE IT	DonaldTrump_ILoveIt.mp3	Podcast	206	08-12-2020	1966	Donald Trump	https://youtu.be/IgTdy9DElWU&t=1966	
Im gonna cum	DonaldTrump_ImGonnaCum.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Bye Bye	DonaldTrump_ByeBye.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Okaaaay	DonaldTrump_Okaaaay.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
Im blowin out my voice talking in this stupid mic!	Trump_BlowinOutMyVoiceTalkingToThisStupidMic.mp3	Unknown	1	05-05-2015	0	Donald Trump	https://youtu.be/zOYZ3XMGjUM&t=0	
